;Mn;Pd;Cr;Rh;Pt;Ru;Ir;Ta;Nb;Sn;Sc;Co;Ni;Sm;V;La;Ce;Fe;Au;Ti;Zr;Hf;As;Ag;In;Zn;Ge;Cd;Te;Cu;Re;Mo;Y;Pb;Bi;Sb;Ga;Al;Si;Hg;W;Mg
Zr;0.3566560259488541;0.24377511675493593;0.266674012212268;0.2949291299332389;0.2938471996163068;0.2948533268549028;0.2948533268549028;0.13552319711111593;0.029075818301086343;0.5315736884496043;0.7742915697434561;0.39783905998929525;0.08517032291440121;0.7523734984312471;0.7177498806034027;0.5765989410469603;0.4369041603327013;0.3745096428013656;0.5312372315353249;0.9999999999999998;1.0;0.9999999999999999;0.7404771743423468;0.7116237765515514;0.7480412734061763;0.7355224722763894;0.7355224722763894;0.7355224722763894;0.7820010794936587;0.7762364642839309;0.7697688720759716;0.7576406079144784;0.8203792363084699;0.781997260156987;0.8119431603177081;0.8009612249352747;0.8189753862045167;0.8188925101940264;0.8145597012739109;0.8115335416964048;0.81263743317546;0.8123916742761386
Hf;0.3566560259488541;0.24377511675493593;0.266674012212268;0.2949291299332389;0.2938471996163068;0.2948533268549028;0.2948533268549028;0.13552319711111593;0.029075818301086343;0.5315736884496043;0.7742915697434561;0.39783905998929525;0.08517032291440121;0.7523734984312471;0.7177498806034027;0.5765989410469603;0.4369041603327013;0.3745096428013656;0.5312372315353249;0.9999999999999998;0.9999999999999999;1.0;0.7404771743423468;0.7116237765515514;0.7480412734061763;0.7355224722763894;0.7355224722763894;0.7355224722763894;0.7820010794936587;0.7762364642839309;0.7697688720759716;0.7576406079144784;0.8203792363084699;0.781997260156987;0.8119431603177081;0.8009612249352747;0.8189753862045167;0.8188925101940264;0.8145597012739109;0.8115335416964048;0.81263743317546;0.8123916742761386
As;0.17361472422330312;0.3088133915095146;0.1233868621089168;0.1631917877997034;0.11423124857888821;0.12954603043284693;0.12954603043284693;0.3200221193306037;0.0512369587448027;0.7869290645991792;0.8102163671648297;0.7115332409834932;0.358935728971551;0.7923642164011105;0.7589586238948256;0.6037460597552649;0.45054947573512416;0.39709746270726587;0.7969854639690733;0.7404771743423468;0.7404771743423468;0.7404771743423468;1.0;0.94536248770221;0.9733767824659861;0.9456511527137716;0.9456511527137716;0.9456511527137716;0.943283206135706;0.9382446390680074;0.9241264120385491;0.9070077517324582;0.8706229928123169;0.9476576287875766;0.9446213195400145;0.9461389630424999;0.8962724316409365;0.8952589735632341;0.8588154440836437;0.8573041959956451;0.8583225066601236;0.8590582726551453
Ag;0.17609322113009235;0.17945403852258132;0.147512997804682;0.11280237308600927;0.08898115892533867;0.09650895717437781;0.09650895717437781;0.23587978234606374;0.014046337211816967;0.6145914177973988;0.6956328561065812;0.548105624540376;0.1834924504052789;0.7656746082105423;0.7409295861653351;0.5914604144217219;0.44961472690327137;0.3991704208776903;0.8293744280833619;0.7116237765515516;0.7116237765515515;0.7116237765515515;0.94536248770221;1.0;0.9694789879103086;0.9726441618920904;0.9726441618920904;0.9726441618920904;0.9209917435466337;0.9137457643813162;0.9120681507825806;0.9001080025595736;0.8306927204437758;0.9639671535949156;0.9243471217812678;0.9318526890532126;0.8718514691362678;0.8705196303105621;0.8220970782494966;0.8200176168135893;0.8173711113729983;0.8240537075079483
In;0.20315838465894895;0.20045952915182272;0.15692227482734852;0.1227586337044149;0.0948194623900151;0.10362671197336529;0.10362671197336529;0.2501861108096679;0.03116250807742537;0.7122902078793467;0.7427981526104122;0.565527984151148;0.2126823121318338;0.8224076104861782;0.7835556000640779;0.6451365829538624;0.49704552933222007;0.44458599317548575;0.7930100834002621;0.7480412734061764;0.7480412734061764;0.7480412734061764;0.9733767824659862;0.9694789879103086;1.0;0.9919641838503462;0.9919641838503462;0.9919641838503462;0.9198202293982299;0.9102410716317179;0.9093410424070675;0.8977277366184676;0.8814350583369355;0.9759578846567799;0.9487519329899635;0.9522284395221752;0.8980309166237532;0.8967239180290311;0.8499769178071427;0.8532620155479156;0.8520262057106422;0.8554784544899909
Zn;0.21175205195114877;0.1608790059974082;0.17775359330604948;0.11287201695343065;0.0938900320293647;0.09994125522163444;0.09994125522163444;0.2063166723242945;0.006383580167339103;0.620156423748203;0.70215991250451;0.5013168000234883;0.15231042445926785;0.8077645897691826;0.7765307987925697;0.6426639279887313;0.5029692974039248;0.4524988098214076;0.8082004229632082;0.7355224722763894;0.7355224722763894;0.7355224722763894;0.9456511527137716;0.9726441618920904;0.9919641838503463;1.0;1.0;1.0;0.8990819054201583;0.8882685244502274;0.8898354381264403;0.8794568029420661;0.8546408338129671;0.975769593635142;0.9307483634592958;0.9349559692360085;0.8833901662726376;0.881945720670863;0.8260451632479673;0.8302837252879693;0.8261987403907243;0.8329864625258987
Ge;0.21175205195114877;0.1608790059974082;0.17775359330604948;0.11287201695343065;0.0938900320293647;0.09994125522163444;0.09994125522163444;0.2063166723242945;0.006383580167339103;0.620156423748203;0.70215991250451;0.5013168000234883;0.15231042445926785;0.8077645897691826;0.7765307987925697;0.6426639279887313;0.5029692974039248;0.4524988098214077;0.8082004229632082;0.7355224722763894;0.7355224722763894;0.7355224722763894;0.9456511527137716;0.9726441618920904;0.9919641838503463;1.0;1.0;1.0;0.8990819054201583;0.8882685244502274;0.8898354381264403;0.8794568029420661;0.8546408338129671;0.975769593635142;0.9307483634592958;0.9349559692360085;0.8833901662726376;0.881945720670863;0.8260451632479673;0.8302837252879693;0.8261987403907243;0.8329864625258987
Cd;0.21175205195114877;0.1608790059974082;0.17775359330604948;0.11287201695343065;0.0938900320293647;0.09994125522163444;0.09994125522163444;0.2063166723242945;0.006383580167339103;0.620156423748203;0.70215991250451;0.5013168000234883;0.15231042445926785;0.8077645897691826;0.7765307987925697;0.6426639279887313;0.5029692974039248;0.4524988098214077;0.8082004229632082;0.7355224722763894;0.7355224722763894;0.7355224722763894;0.9456511527137716;0.9726441618920904;0.9919641838503463;1.0;1.0;1.0;0.8990819054201583;0.8882685244502274;0.8898354381264403;0.8794568029420661;0.8546408338129671;0.975769593635142;0.9307483634592958;0.9349559692360085;0.8833901662726376;0.881945720670863;0.8260451632479673;0.8302837252879693;0.8261987403907243;0.8329864625258987
Te;0.12226904672863337;0.16335292349915503;0.08200304464100625;0.09071097437661706;0.06603104607822581;0.0737702560832467;0.0737702560832467;0.2768021216350772;0.011742659921831206;0.6661496304683057;0.7189643971578912;0.6074003610505528;0.18317183057978503;0.7752593359050653;0.7332054059720096;0.5369873831586438;0.36117078270301756;0.30059430384641256;0.7112290472693364;0.7820010794936589;0.7820010794936587;0.7820010794936587;0.9432832061357062;0.9209917435466336;0.9198202293982299;0.8990819054201582;0.8990819054201582;0.8990819054201582;1.0;0.999544701828073;0.9790130793630129;0.9586329200492992;0.9125055473380856;0.9482721196539435;0.9743540238408676;0.9610747432143352;0.9556584441403188;0.9552941432987458;0.9374309157753589;0.933466476009913;0.9355528872019904;0.9403405188857246
Cu;0.11776801250921382;0.16703497247531573;0.08170583826227429;0.09306301704214855;0.06788590248055612;0.07578222417436624;0.07578222417436624;0.28410518631177045;0.011725842151623141;0.663159139050621;0.714915788476937;0.61417503539811;0.1870009918126671;0.7632551618780598;0.7216498063294455;0.5235840752568497;0.34779381918216284;0.2873172249425839;0.7061342067268768;0.776236464283931;0.776236464283931;0.776236464283931;0.9382446390680075;0.9137457643813162;0.9102410716317179;0.8882685244502274;0.8882685244502274;0.8882685244502274;0.9995447018280729;1.0;0.9780353470034902;0.9570902626770539;0.904281716280761;0.9386903814852678;0.9676332448298872;0.9534706606192638;0.9499320912858769;0.9496055571541713;0.9327107500193176;0.9281607811972837;0.9304336232576339;0.935351642692
Re;0.10502299460253123;0.12192947119662344;0.05047456197532122;0.06707728606734571;0.04854658541368219;0.05435513533082684;0.05435513533082684;0.22722951861920543;0.008844906622433011;0.6569296961117606;0.6750321720776767;0.5501221080814935;0.1372592352389067;0.7613432258814602;0.7044493058114909;0.5143546135694053;0.33498752067706716;0.2739670215174034;0.6511342252812995;0.7697688720759714;0.7697688720759717;0.7697688720759717;0.9241264120385491;0.9120681507825806;0.9093410424070675;0.8898354381264403;0.8898354381264403;0.8898354381264403;0.9790130793630129;0.97803534700349;1.0;0.9964716696756836;0.9110796099910196;0.9302389163576332;0.9607502948342934;0.9458071964353229;0.929350066697601;0.9288941172234768;0.9243208886655809;0.9272549952329799;0.9244603475358985;0.9335061225501666
Mo;0.09859169717212181;0.1022587694406149;0.03727451855186555;0.05578398801304143;0.040158795897892764;0.04505481972953768;0.04505481972953768;0.20151662392624187;0.007575438729652232;0.6462934373403325;0.6506207959127691;0.5175242112639725;0.1155320364979136;0.7511535829898606;0.6888075156605;0.5042743940279547;0.3256862919530561;0.2652017662324001;0.6209317939055922;0.7576406079144782;0.7576406079144783;0.7576406079144783;0.9070077517324582;0.9001080025595735;0.8977277366184676;0.8794568029420662;0.8794568029420662;0.8794568029420662;0.9586329200492992;0.9570902626770539;0.9964716696756836;1.0;0.9025444286241489;0.9153263990680469;0.9460918489898329;0.9310193546141836;0.9095640724853552;0.9090616540830592;0.9095063979795571;0.9154177295016105;0.9106171904106305;0.921213122137475
