Creep strength Temp ©;Creep strength Stress (Mpa);Creep strength 1 Time for 1% creep (hours);Creep strength 1 Rupture life (hours);Creep strength 1 Elongation / rupture strain (%);LMP;Normalized Composition;DeltaH_mix;1-mr
982;248.4;;33.0;;27.00573499;Al0.11253Co0.05152Cr0.11679Ni0.64665Ta0.04027Ti0.01903W0.01321;-0.16321;0
871;552.0;;35.1;;24.64783134;Al0.13110B0.00273C0.00020Co0.05002Cr0.07937Hf0.00050Mo0.00922Ni0.67580Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.03884;0.00292999999999999
1093;138.0;;35.4;;29.43593846;Al0.14047B0.00022C0.00247Co0.07537Cr0.09112Hf0.00050Ni0.64471Re0.01908Ta0.01964W0.00644;0.16056;0.00268999999999997
1148;90.0;;39.2;;30.6840595;Al0.14137B0.00022C0.00244Co0.07468Cr0.09029Hf0.00049Mo0.00917Ni0.64284Re0.00945Ta0.01946W0.00958;0.16952;0.00266
871;517.5;;40.0;;24.71275663;Al0.11253Co0.05152Cr0.11679Ni0.64665Ta0.04027Ti0.01903W0.01321;-0.16321;0
1093;138.0;;42.3;;29.54158094;Al0.14330B0.00275C0.00020Co0.07570Cr0.05720Hf0.00167Mo0.00310Ni0.65772Re0.00958Ta0.02630Ti0.01243W0.00971Y0.00033;-0.10394;0.00295000000000001
1093;138.0;;42.8;;29.54855219;Al0.13112B0.00273C0.00020Co0.10006Cr0.07938Hf0.00050Mo0.00922Ni0.62571Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.025072;0.00292999999999999
1093;138.0;;43.1;;29.55269595;Al0.13802B0.00278C0.00020Co0.07644Cr0.06931Hf0.00050Mo0.00939Ni0.65543Re0.00968Ta0.02158W0.01634Y0.00034;0.11969;0.00297999999999998
871;552.0;;43.5;;24.75443171;Al0.15822B0.00021C0.00237Cr0.07663Hf0.00048Mo0.00890Ni0.72525Re0.00917Ta0.00629W0.01239Y0.00010;0.26645;0.00258000000000003
982;276.0;;43.8;;27.16005001;Al0.12438B0.00021C0.00241Co0.07364Cr0.08903Hf0.00049Mo0.01809Ni0.60134Re0.01398Ta0.01599Ti0.06044;-0.34177;0.00261999999999996
1093;138.0;;44.1;;29.56630311;Al0.13876B0.00022C0.00244Co0.07445Cr0.09000Hf0.00049Mo0.01829Ni0.64183Re0.01414Ta0.01940;0.15399;0.00266
982;276.0;;44.5;;27.16869181;Al0.12690B0.00022C0.00248Co0.07578Cr0.09162Hf0.00050Mo0.00310Ni0.63558Re0.00959Ta0.01645Ti0.01866W0.01911;-0.0060671;0.00270000000000004
1093;138.0;;45.5;;29.58484357;Al0.12690B0.00022C0.00248Co0.07578Cr0.09162Hf0.00050Mo0.00310Ni0.63558Re0.00959Ta0.01645Ti0.01866W0.01911;-0.0060671;0.00270000000000004
1093;138.0;;46.0;;29.5913272;Al0.14094B0.00022C0.00247Co0.07562Cr0.09142Hf0.00050Ni0.64183Re0.01436Ta0.01970W0.01293;0.17092;0.00268999999999997
1148;90.0;;46.3;;30.78679059;Al0.13818B0.00278C0.00020Co0.07653Cr0.05783Hf0.00051Mo0.00940Ni0.66682Re0.00969Ta0.02160W0.01636Y0.00010;0.11281;0.00297999999999998
1148;90.0;;47.1;;30.79736271;Al0.13112B0.00273C0.00020Co0.10006Cr0.07938Hf0.00050Mo0.00922Ni0.62571Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.025072;0.00292999999999999
1093;138.0;;47.6;;29.6116111;Al0.14367B0.00276C0.00020Co0.07590Cr0.05735Hf0.00050Mo0.00932Ni0.65826Re0.00961Ta0.02637Ti0.00623W0.00973Y0.00010;-0.010539;0.00295999999999996
982;276.0;;48.7;;27.21784885;Al0.13818B0.00278C0.00020Co0.07653Cr0.05783Hf0.00051Mo0.00940Ni0.66682Re0.00969Ta0.02160W0.01636Y0.00010;0.11281;0.00297999999999998
982;276.0;;49.1;;27.22230727;Al0.13110B0.00273C0.00020Co0.05002Cr0.07937Hf0.00050Mo0.00922Ni0.67580Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.03884;0.00292999999999999
982;179.4;;50.0;;27.23220736;Al0.09208B0.00024C0.00246Co0.07528Cr0.11036Hf0.00050Mo0.00925Ni0.63191Ta0.01537Ti0.04325W0.01931;-0.20664;0.00270000000000004
982;276.0;;51.4;;27.24725871;Al0.13111B0.00273C0.00020Co0.07503Cr0.07938Hf0.00050Mo0.00922Ni0.65076Re0.00950Ta0.01955Ti0.01232W0.00962Y0.00010;-0.032943;0.00292999999999999
